ds,y,yhat,yhat_lower,yhat_upper,residual,residual_pct,z_score,is_anomaly,severity,anomaly_type
2010-01-01,53,15.98601790193961,-6.766075230119687,37.44899331733024,37.01398209806039,217.90853107386522,3.0532869195798167,True,84.42629535663853,severe_outbreak
2011-01-01,5,11.655756267155835,-12.415152767448506,35.36464998830272,-6.6557562671558355,-52.59074311053876,-0.5883067784717292,False,0.0,normal
2012-01-01,7,7.745466704257533,-12.93202725443131,29.361569013675524,-0.7454667042575327,-8.52403570291588,-0.0954512214745372,False,0.0,normal
2013-01-01,2,15.271175002060819,-6.971051412307513,37.296395180024156,-13.271175002060819,-81.5624870384589,-1.1399626407882937,False,0.0,normal
2014-01-01,2,11.489207023344036,-11.277491337015917,33.774368442881894,-9.489207023344036,-75.97925957674822,-0.8245865640564544,False,0.0,normal
2015-01-01,2,8.1292006379863,-13.213803172486534,30.851421050759974,-6.129200637986299,-67.13841530092898,-0.5443976154531415,False,0.0,normal
2016-01-01,1,5.210382993338569,-16.448644291524115,27.308434885295128,-4.210382993338569,-67.79586698364245,-0.3843885450066603,False,0.0,normal
2017-01-01,1,9.826511201329959,-12.95341506631546,32.01787331703879,-8.826511201329959,-81.52682833086328,-0.7693247507387504,False,0.0,normal
2018-01-01,2,6.992396143874422,-15.960883753469142,29.87397582140184,-4.992396143874422,-62.46432301407786,-0.4496001599004446,False,0.0,normal
2020-01-01,2,2.6752992843591854,-18.75333827700418,24.837402866056408,-0.6752992843591854,-18.37399439096097,-0.08960000175864612,False,0.0,normal
2021-01-01,5,4.381847406443868,-17.54093734440463,27.933550213305352,0.6181525935561316,11.485881090125234,0.018260186639027925,False,0.0,normal
2022-01-01,5,2.495585270687996,-19.718109494716217,24.817536691827215,2.504414729312004,71.64507615684879,0.17555447242098998,False,0.0,normal
2023-01-01,9,1.0760893861046064,-23.143293503428126,22.39094633626866,7.923910613895393,381.67482898041925,0.6274830343661868,False,0.0,normal
2024-01-01,10,0.14021557901795825,-22.930665711295,22.071448112023756,9.859784420982042,864.7298460413995,0.7889144081278622,False,0.0,normal
2025-01-01,2,-1.0628163817248886,-21.514746022436697,22.073774024973787,3.062816381724889,-4875.82426370694,0.22211925651477404,False,0.0,normal
