ds,y,yhat,yhat_lower,yhat_upper,residual,residual_pct,z_score,is_anomaly,severity,anomaly_type
2010-01-01,4,5.887428733274766,-6.221394152150623,17.12784517847545,-1.8874287332747661,-27.40396752355723,-0.29472640960698254,False,0.0,normal
2011-01-01,4,4.701970736306578,-8.59646290321561,17.124134247297228,-0.7019707363065777,-12.311019624090102,-0.11306024571319055,False,0.0,normal
2013-01-01,8,7.735957321868747,-4.629820462037184,19.209649068048115,0.26404267813125326,3.0224813194802875,0.034977012223982806,False,0.0,normal
2014-01-01,6,6.488110522113849,-5.944330962942399,18.673208656580254,-0.48811052211384887,-6.518473794856037,-0.0802871193592753,False,0.0,normal
2015-01-01,4,5.169778583271063,-7.025729146622147,17.38385002941325,-1.1697785832710634,-18.9598146429896,-0.1847497169680146,False,0.0,normal
2016-01-01,3,3.7824968952586024,-8.31679195778586,15.359215333009656,-0.7824968952586024,-16.36168119699931,-0.12540052130906107,False,0.0,normal
2017-01-01,2,8.469125045159466,-3.9234212793297076,20.93425967898555,-6.4691250451594655,-68.3180865635144,-0.9968509852858657,False,0.0,normal
2018-01-01,6,7.088792274713199,-4.968972196170672,19.70046595142913,-1.0887922747131986,-13.460504828600056,-0.1723389254922698,False,0.0,normal
2019-01-01,22,5.637586395273092,-6.36410797507526,18.877383776625884,16.362413604726907,246.5114972571849,2.501980734543519,True,78.7114980502612,severe_outbreak
2020-01-01,1,4.117204396879512,-7.244997381512727,16.205826910458846,-3.1172043968795116,-60.91615958862994,-0.48318405874207176,False,0.0,normal
2021-01-01,23,9.202292740273007,-3.0507510574292858,23.08403685516409,13.797707259726993,135.24124048373244,2.1089508976350877,False,0.0,normal
2022-01-01,6,7.689474003070464,-3.5990492926820807,19.703841700736923,-1.6894740030704636,-19.442764918491967,-0.2643907279102727,False,0.0,normal
2023-01-01,5,6.105394180446146,-5.414874618011707,18.626235237238294,-1.1053941804461456,-15.557112700209663,-0.17488309368341978,False,0.0,normal
2024-01-01,1,4.451911874897521,-8.926347944878197,16.743228274581735,-3.4519118748975206,-63.31562127391148,-0.5344764906237633,False,0.0,normal
2025-01-01,2,9.935460367812455,-2.614654795935225,21.396069092312448,-7.935460367812455,-72.56631271939652,-1.2215603497084018,False,0.0,normal
