ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2010-01-01,41.844030000000004,-6.766075230119687,37.44899331733024,41.844030000000004,41.844030000000004,-0.6179618000001528,-0.6179618000001528,-0.6179618000001528,-0.6179618000001528,-0.6179618000001528,-0.6179618000001528,0.0,0.0,0.0,15.98601790193961
2011-01-01,38.90339933929549,-12.415152767448506,35.36464998830272,38.90339933929549,38.90339933929549,-0.7003923444966773,-0.7003923444966773,-0.7003923444966773,-0.7003923444966773,-0.7003923444966773,-0.7003923444966773,0.0,0.0,0.0,11.655756267155835
2012-01-01,35.962768677429395,-12.93202725443131,29.361569013675524,35.962768677429395,35.962768677429395,-0.7846254059655127,-0.7846254059655127,-0.7846254059655127,-0.7846254059655127,-0.7846254059655127,-0.7846254059655127,0.0,0.0,0.0,7.745466704257533
2013-01-01,33.01408149271899,-6.971051412307513,37.296395180024156,33.01408149271899,33.01408149271899,-0.5374345033518875,-0.5374345033518875,-0.5374345033518875,-0.5374345033518875,-0.5374345033518875,-0.5374345033518875,0.0,0.0,0.0,15.271175002060819
2014-01-01,30.07345083126245,-11.277491337015917,33.774368442881894,30.07345083126245,30.07345083126245,-0.6179618000006641,-0.6179618000006641,-0.6179618000006641,-0.6179618000006641,-0.6179618000006641,-0.6179618000006641,0.0,0.0,0.0,11.489207023344036
2015-01-01,27.132820168828754,-13.213803172486534,30.851421050759974,27.132820168828754,27.132820168828754,-0.7003923444962996,-0.7003923444962996,-0.7003923444962996,-0.7003923444962996,-0.7003923444962996,-0.7003923444962996,0.0,0.0,0.0,8.1292006379863
2016-01-01,24.192189504509816,-16.448644291524115,27.308434885295128,24.192189504509816,24.192189504509816,-0.7846254059655382,-0.7846254059655382,-0.7846254059655382,-0.7846254059655382,-0.7846254059655382,-0.7846254059655382,0.0,0.0,0.0,5.210382993338569
2017-01-01,21.243502320267833,-12.95341506631546,32.01787331703879,21.243502320267833,21.243502320267833,-0.5374345033514196,-0.5374345033514196,-0.5374345033514196,-0.5374345033514196,-0.5374345033514196,-0.5374345033514196,0.0,0.0,0.0,9.826511201329959
2018-01-01,18.302871660153748,-15.960883753469142,29.87397582140184,18.302871660153748,18.302871660153748,-0.6179618000000944,-0.6179618000000944,-0.6179618000000944,-0.6179618000000944,-0.6179618000000944,-0.6179618000000944,0.0,0.0,0.0,6.992396143874422
2020-01-01,12.421610340596184,-18.75333827700418,24.837402866056408,12.421610340596184,12.421610340596184,-0.7846254059656179,-0.7846254059656179,-0.7846254059656179,-0.7846254059656179,-0.7846254059656179,-0.7846254059656179,0.0,0.0,0.0,2.6752992843591854
2021-01-01,9.47292316048854,-17.54093734440463,27.933550213305352,9.47292316048854,9.47292316048854,-0.5374345033515624,-0.5374345033515624,-0.5374345033515624,-0.5374345033515624,-0.5374345033515624,-0.5374345033515624,0.0,0.0,0.0,4.381847406443868
2022-01-01,6.532292505547921,-19.718109494716217,24.817536691827215,6.532292505547921,6.532292505547921,-0.6179618000007687,-0.6179618000007687,-0.6179618000007687,-0.6179618000007687,-0.6179618000007687,-0.6179618000007687,0.0,0.0,0.0,2.495585270687996
2023-01-01,3.5916618495557167,-23.143293503428126,22.39094633626866,3.5916618495557167,3.5916618495557167,-0.7003923444970976,-0.7003923444970976,-0.7003923444970976,-0.7003923444970976,-0.7003923444970976,-0.7003923444970976,0.0,0.0,0.0,1.0760893861046064
2024-01-01,0.6510311935635184,-22.930665711295,22.071448112023756,0.6510311935635184,0.6510311935635184,-0.7846254059648556,-0.7846254059648556,-0.7846254059648556,-0.7846254059648556,-0.7846254059648556,-0.7846254059648556,0.0,0.0,0.0,0.14021557901795825
2025-01-01,-2.297655984773864,-21.514746022436697,22.073774024973787,-2.297655984773864,-2.297655984773864,-0.5374345033512529,-0.5374345033512529,-0.5374345033512529,-0.5374345033512529,-0.5374345033512529,-0.5374345033512529,0.0,0.0,0.0,-1.0628163817248886
2025-12-31,-5.230230118420884,-22.45886647402261,21.146684504850956,-5.230230172366219,-5.230230068590348,-0.9580790369297463,-0.9580790369297463,-0.9580790369297463,-0.9580790369297463,-0.9580790369297463,-0.9580790369297463,0.0,0.0,0.0,-0.21925628364325067
2026-12-31,-8.170860774413077,-20.280532253198725,22.296213499032582,-8.170860941421429,-8.170860613843505,-1.0470814863888762,-1.0470814863888762,-1.0470814863888762,-1.0470814863888762,-1.0470814863888762,-1.0470814863888762,0.0,0.0,0.0,0.38469627033593184
2027-12-31,-11.111491430405275,-21.224203439462116,25.20925589968965,-11.111491730360793,-11.111491135063968,-1.1374505332936802,-1.1374505332936802,-1.1374505332936802,-1.1374505332936802,-1.1374505332936802,-1.1374505332936802,0.0,0.0,0.0,1.5272804227973622
