ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2020-01-01,1774.71565,209.05272579280566,239.82652349453542,1774.71565,1774.71565,-0.8735712033300302,-0.8735712033300302,-0.8735712033300302,-0.8735712033300302,-0.8735712033300302,-0.8735712033300302,0.0,0.0,0.0,224.37516406086323
2021-01-01,1597.2391609359609,197.4643674133698,227.10374125337125,1597.2391609359609,1597.2391609359609,-0.8667527106717436,-0.8667527106717436,-0.8667527106717436,-0.8667527106717436,-0.8667527106717436,-0.8667527106717436,0.0,0.0,0.0,212.8277886036554
2022-01-01,1420.247580300312,217.3884787065777,246.87133503947982,1420.247580300312,1420.247580300312,-0.8363099999998802,-0.8363099999998802,-0.8363099999998802,-0.8363099999998802,-0.8363099999998802,-0.8363099999998802,0.0,0.0,0.0,232.4803264195282
2023-01-01,1243.2559996690493,185.9561617054892,215.56761835101094,1243.2559996690493,1243.2559996690493,-0.8385809324410971,-0.8385809324410971,-0.8385809324410971,-0.8385809324410971,-0.8385809324410971,-0.8385809324410971,0.0,0.0,0.0,200.68522420358963
2024-01-01,1066.2644190470094,120.04012541616294,148.9771505699741,1066.2644190470094,1066.2644190470094,-0.8735712033295897,-0.8735712033295897,-0.8735712033295897,-0.8735712033295897,-0.8735712033295897,-0.8735712033295897,0.0,0.0,0.0,134.8065274325875
2025-01-01,888.7879299849089,104.11358949889069,133.76422734861967,888.7879299849089,888.7879299849089,-0.8667527106721593,-0.8667527106721593,-0.8667527106721593,-0.8667527106721593,-0.8667527106721593,-0.8667527106721593,0.0,0.0,0.0,118.42858245779178
2025-12-31,712.2812578029295,-44.239176401090965,-14.186281279393256,712.281257258869,712.281258409339,-1.0414422647235924,-1.0414422647235924,-1.0414422647235924,-1.0414422647235924,-1.0414422647235924,-1.0414422647235924,0.0,0.0,0.0,-29.51854844352234
2026-12-31,535.2896771808893,-108.30866434894445,-77.9295724712201,535.2896754748848,535.2896790727493,-1.174044516902942,-1.174044516902942,-1.174044516902942,-1.174044516902942,-1.174044516902942,-1.174044516902942,0.0,0.0,0.0,-93.1642332680797
2027-12-31,358.29809655884935,-136.7066049290318,-107.39903916645426,358.2980933484124,358.29809998634016,-1.3388094914426016,-1.3388094914426016,-1.3388094914426016,-1.3388094914426016,-1.3388094914426016,-1.3388094914426016,0.0,0.0,0.0,-121.39479587995592
