ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2010-01-01,-2.9258792,-16.268197091354182,11.854193452576071,-2.9258792,-2.9258792,-0.1075421000001115,-0.1075421000001115,-0.1075421000001115,-0.1075421000001115,-0.1075421000001115,-0.1075421000001115,0.0,0.0,0.0,-2.6112240064853536
2011-01-01,-1.1604521430553019,-14.776204511509533,14.005830865666427,-1.1604521430553019,-1.1604521430553019,-0.16747486314683224,-0.16747486314683224,-0.16747486314683224,-0.16747486314683224,-0.16747486314683224,-0.16747486314683224,0.0,0.0,0.0,-0.966105579208667
2012-01-01,0.6049749138361481,-14.548477563004733,14.504982873657685,0.6049749138361481,0.6049749138361481,-0.22779746970906817,-0.22779746970906817,-0.22779746970906817,-0.22779746970906817,-0.22779746970906817,-0.22779746970906817,0.0,0.0,0.0,0.46716315922681206
2013-01-01,2.375238757225618,-12.691420841324073,16.563703744831606,2.375238757225618,2.375238757225618,-0.048072256990929596,-0.048072256990929596,-0.048072256990929596,-0.048072256990929596,-0.048072256990929596,-0.048072256990929596,0.0,0.0,0.0,2.261055669273452
2015-01-01,5.906092871173915,-9.427711286073674,18.636410668899845,5.906092871173915,5.906092871173915,-0.16747486314655716,-0.16747486314655716,-0.16747486314655716,-0.16747486314655716,-0.16747486314655716,-0.16747486314655716,0.0,0.0,0.0,4.9169707758432075
2017-01-01,9.441783771678217,-5.566626300026518,23.408962891585563,9.441783771678217,9.441783771678217,-0.048072256990577544,-0.048072256990577544,-0.048072256990577544,-0.048072256990577544,-0.048072256990577544,-0.048072256990577544,0.0,0.0,0.0,8.987895915756637
2018-01-01,11.207210828785913,-4.898442975769252,23.95121117531805,11.207210828785913,11.207210828785913,-0.10754210000006897,-0.10754210000006897,-0.10754210000006897,-0.10754210000006897,-0.10754210000006897,-0.10754210000006897,0.0,0.0,0.0,10.001963841114764
2019-01-01,12.972637886036038,-3.8271332162321112,24.555708366132855,12.972637886036038,12.972637886036038,-0.167474863146879,-0.167474863146879,-0.167474863146879,-0.167474863146879,-0.167474863146879,-0.167474863146879,0.0,0.0,0.0,10.800047131418134
2021-01-01,16.50832878674485,1.2638518047956622,30.595395775866972,16.50832878674485,16.50832878674485,-0.048072256990686624,-0.048072256990686624,-0.048072256990686624,-0.048072256990686624,-0.048072256990686624,-0.048072256990686624,0.0,0.0,0.0,15.714736162821703
2022-01-01,18.273755843805493,2.39787037263435,30.692398313628317,18.273755843805493,18.273755843805493,-0.10754210000056336,-0.10754210000056336,-0.10754210000056336,-0.10754210000056336,-0.10754210000056336,-0.10754210000056336,0.0,0.0,0.0,16.308557765465082
2023-01-01,20.039182900866138,1.8533962063627787,30.829650657358854,20.039182900866138,20.039182900866138,-0.1674748631471349,-0.1674748631471349,-0.1674748631471349,-0.1674748631471349,-0.1674748631471349,-0.1674748631471349,0.0,0.0,0.0,16.683123486963176
2025-01-01,23.574873801445122,7.8783219652335905,37.029926058644826,23.574873801445122,23.574873801445122,-0.04807225699045092,-0.04807225699045092,-0.04807225699045092,-0.04807225699045092,-0.04807225699045092,-0.04807225699045092,0.0,0.0,0.0,22.441576409544602
2025-12-31,25.335464072048065,2.4703329875261306,30.654283725483253,25.33546404661551,25.335464092557725,-0.3493162466569797,-0.3493162466569797,-0.3493162466569797,-0.3493162466569797,-0.3493162466569797,-0.3493162466569797,0.0,0.0,0.0,16.485374855087475
2026-12-31,27.100891129108707,2.6703900690995135,29.695051744357674,27.100891043400196,27.100891196989057,-0.4103629260823294,-0.4103629260823294,-0.4103629260823294,-0.4103629260823294,-0.4103629260823294,-0.4103629260823294,0.0,0.0,0.0,15.979690145929014
2027-12-31,28.866318186169348,1.6338938779604735,30.31501047518048,28.866318040519133,28.86631831591097,-0.4715006841705832,-0.4715006841705832,-0.4715006841705832,-0.4715006841705832,-0.4715006841705832,-0.4715006841705832,0.0,0.0,0.0,15.255829411904752
